item	code	label_en	label_fr	label_de	label_nl	label_es	description_en	description_fr	description_de	description_nl	description_es
http://www.wikidata.org/entity/Q29316	rup	Aromanian	aroumain	Aromunische Sprache	Aroemeens	arrumano	Eastern Romance language of the Southern Balkans	langue romane parlée par les Macedo-Roumains en Gréce, Albanie, Macédoine du Nord, Bulgarie, Rumanie et en Serbie	Östliche romanische Sprache, die im Südwesten des Balkans gesprochen wird	taal	lengua romance oriental
http://www.wikidata.org/entity/Q29401	as	Assamese	assamais	Assamesisch	Assamees	idioma asamés	Indo-Aryan language spoken in Assam, India	langue indo-aryenne	Sprache aus dem indoarischen Zweig der indoiranischen Untergruppe der indogermanischen Sprachen	taal	lengua indoaria, hablada en la India
http://www.wikidata.org/entity/Q29507	ast	Asturian	asturien	Asturisch	Asturisch	asturiano	Romance language of the West Iberian group	langue romane	Romanische Sprache	Iberisch-Romaanse taal	lengua romance tradicional del Principado de Asturias, variante del asturleonés
http://www.wikidata.org/entity/Q715766	tay	Atayal	atayal	Atayal	Atayal	lengua atayal	Austronesian language spoken in Taiwan	langue formosane	Sprache des Volkes der Atayal in Taiwan	taal	lengua
http://www.wikidata.org/entity/Q56590	atj	Atikamekw	atikamekw	Atikamekw	Atikamekw	atikamekw	Algonquian language	langue algonquienne	Sprache der Atikamekw-Nation, Sprachfamilie: Algonkin-Sprachen	taal	idioma
http://www.wikidata.org/entity/Q44679	en-au	Australian English	anglais australien	australisches Englisch	Australisch-Engels	inglés australiano	set of varieties of the English language native to Australia	langue anglaise parlée en Australie	Sprache	taal	dialecto inglés hablado y escrito en Australia
http://www.wikidata.org/entity/Q306626	de-at	Austrian German	allemand autrichien	österreichisches Deutsch	Oostenrijks-Duits	alemán de Austria	variety of Standard German written and spoken in Austria and North Italy	variété d'allemand standard utilisée en Autriche	Varietät des Hochdeutschen	taal	lengua
http://www.wikidata.org/entity/Q29561	av	Avar	avar	Awarisch	Avaars	avar	language belonging to the Avar–Andic group of the Northeast Caucasian language family	langue	Sprache	taal	lengua hablada por los avares
http://www.wikidata.org/entity/Q29579	awa	Awadhi	awadhi	Awadhi	Awadhi	awadhi	Indo-Aryan language spoken in Northern India	langue indienne	indoarische Sprache, Teil des Hindi-Urdu-Dialektkontinuums in Nordindien	taal	dialecto del hindi
http://www.wikidata.org/entity/Q4627	ay	Aymara	aymara	Aymara	Aymara	aymara	native language in South America	langue parlée par les Aymara	Sprache der Aru-Sprachfamilie	taal	idioma de Bolivia, Perú y el norte de Chile
http://www.wikidata.org/entity/Q9292	az	Azerbaijani	azéri	Aserbaidschanisch	Azerbeidzjaans	azerí	Oghuz Turkic language	langue turque	südwesttürkische Turksprache	taal	lengua túrquica
http://www.wikidata.org/entity/Q107549766	az-cyrl	Azerbaijani in Cyrillic script	azéri en alphabet cyrillique		Azerbeidzjaans in Cyrillisch schrift						
http://www.wikidata.org/entity/Q716615	bzg	Babuza	babuza		Babuza	babuza	language	langue formosane	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33205	bfq	Badaga	badaga	Badaga	Badaga		southern Dravidian language (Tamil–Kannada branch) spoken mostly by people in the Nilgiri Hills of Southern India	langue	süddravidische Sprache	taal	lengua
http://www.wikidata.org/entity/Q257829	bqi	Bakhtiari	bakhtiari	Bachtiarisch	Bachtiarisch		language	langue	Sprache	taal	lengua
http://www.wikidata.org/entity/Q33070	ban	Balinese	balinais	Balinesisch	Balinees	balinés	Malayo-Polynesian language spoken on the island of Bali	langue malayo-polynésienne parlée en Indonésie	Sprache	taal	lengua malayo-polinesio
http://www.wikidata.org/entity/Q107530457	ban-bali	Balinese in Balinese script	balinais en écriture balinaise		Balinees in Balinees schrift						
http://www.wikidata.org/entity/Q33049	bal	Balochi	baloutche	Belutschisch	Beloetsji	baluchi	Northwestern Iranian language spoken in Pakistan, Iran and Afghanistan	langue iranienne parlée au Baloutchistan	Sprache	taal	lengua irania; idioma del pueblo baluchi, idiomas oficiales de Pakistán
http://www.wikidata.org/entity/Q93935237	bnt-bal	Balong					language				
http://www.wikidata.org/entity/Q33243	bm	Bambara	bambara	Bambara	Bambara	bambara	western African language spoken in Mali, with SVO structure and two lexical tones	langue mandingue	Mande-Sprache, die in Mali in Westafrika gesprochen wird	taal	lengua hablada en Malí, Burkina Faso, Costa de Marfil
http://www.wikidata.org/entity/Q9610	bn	Bangla	bengali	Bengalisch	Bengaals	bengalí	Indo-Aryan language mostly spoken in Bangladesh and India	langue parlée en Inde et au Bangladesh	Sprache in Bangladesch und Indien	taal	lengua indoeuropea
http://www.wikidata.org/entity/Q33151	bjn	Banjar	banjar	Banjaresisch	Bandjarees	banjar	Austronesian language spoken in Kalimantan, Indonesia	langue	malayopolynesische Sprache und Muttersprache des banjaresischen Volkes von Südborneo in Indonesien	taal	lengua austronésica
http://www.wikidata.org/entity/Q33219	map-bms	Banyumasan	banyumasan	Banyumasan	Banyumasan	Banyumasan	dialect of Javanese spoken in Java, Indonesia	dialecte du javanais	Sprache auf Java	Javaans dialect	dialecto del idioma javanés
http://www.wikidata.org/entity/Q33219	jv-x-bms	Banyumasan	banyumasan	Banyumasan	Banyumasan	Banyumasan	dialect of Javanese spoken in Java, Indonesia	dialecte du javanais	Sprache auf Java	Javaans dialect	dialecto del idioma javanés
http://www.wikidata.org/entity/Q33256	sgh-ba	Bartangi	bartangi	Bartangi			Pamir language natively spoken in Afghanistan and Tajikistan	langue iranienne	indogermanische Sprache	taal	lengua
http://www.wikidata.org/entity/Q716647	byq	Basay	basay		Basay	Basay	extinct Formosan language of northern Taiwan	langue	Sprache	taal	lengua
http://www.wikidata.org/entity/Q13389	ba	Bashkir	bachkir	Baschkirisch	Basjkiers	bashkir	Turkic language spoken in Russia	langue turque parlée en Russie	Turksprache	taal	lengua túrquica (hablada en Rusia)
http://www.wikidata.org/entity/Q8752	eu	Basque	basque	Baskisch	Baskisch	euskera	language of the Basque people	langue isolée non indo-européenne parlée en Espagne et en France par le peuple basque	Sprache der spanisch-französischen Grenzregion Baskenland	niet-Indo-Europese taal isolaat gesproken door de Baskische bevolking in delen van het huidige Frankrijk en Spanje	lengua aislada no indoeuropea hablada en territorios de España y Francia
http://www.wikidata.org/entity/Q64362983	bbc-latn	Batak Toba in Latin script	batak toba en alphabet latin		Batak Toba in Latijns schrift		language expressed in a particular alphabet				
http://www.wikidata.org/entity/Q29540	bar	Bavarian	bavarois	Bairisch	Beiers	bávaro	major group of Upper German varieties spoken in the southeast of the German language area Bavaria	langue germanique	deutsche Sprachformen in Bayern, Österreich und Südtirol	dialect	lengua hablada principalmente en el sur de Alemania, en Austria y en el norte de Italia
http://www.wikidata.org/entity/Q33025	bej	Beja	bedja	Bedscha	Beja	Idioma beya	The Afro-Asiatic language of the Red Sea Hills	langue couchitique	Sprache	taal	lengua afroasiática hablada en la costa del mar Rojo y el Desierto Arábigo de Egipto, Sudán y Eritrea
http://www.wikidata.org/entity/Q9091	be	Belarusian	biélorusse	Belarussisch	Wit-Russisch	bielorruso	East Slavic language	langue slave orientale	ostslawische Sprache	taal	idioma eslavo oriental, oficial en Bielorrusia
http://www.wikidata.org/entity/Q1404296	nl-be	Belgian Dutch	néerlandais belge	belgisches Niederländisch	Belgisch-Nederlands	neerlandés belga	dialect of the Dutch language spoken in Belgium	dialecte de la langue néerlandaise parlé en Belgique	Dialekt der niederländischen Sprache, der in Belgien gesprochen wird	dialect van de Nederlandse taal dat in België wordt gesproken	idioma
http://www.wikidata.org/entity/Q815549	fr-be	Belgian French	français belge	belgisches Französisch	Belgisch-Frans	francés belga	dialect of the French language spoken in Belgium	dialecte de la langue française parlé en Belgique	Dialekt der französischen Sprache, der in Belgien gesprochen wird	dialect van de Franse taal dat in België wordt gesproken	dialecto
http://www.wikidata.org/entity/Q125258960	de-be	Belgian German	allemand belge	belgisches Deutsch	Belgisch-Duits		dialect of the German language spoken in Belgium	dialecte de la langue allemande parlé en Belgique	Dialekt der deutschen Sprache, der in Belgien gesprochen wird	dialect van de Duitse taal dat in België wordt gesproken	
http://www.wikidata.org/entity/Q138207770	li-be	Belgian Limburgish	limbourgeois belge	belgisches Limburgisch	Belgisch-Limburgs		dialect of the Limburgish language spoken in Belgium	dialect van het Limburgs dat in België wordt gesproken	Dialekt der limburgischen Sprache, der in Belgien gesprochen wird	dialect van de Limburgse taal dat in België wordt gesproken	
http://www.wikidata.org/entity/Q138536541	lb-be	Belgian Luxembourgish	luxembourgeois belge	belgisches Luxemburgisch	Belgisch-Luxemburgs		dialect of the Luxembourgish language spoken in Belgium	dialecte de la langue luxembourgeoise parlé en Belgique	Dialekt der luxemburgischen Sprache, der in Belgien gesprochen wird	dialect van de Luxemburgse taal dat in België wordt gesproken	
http://www.wikidata.org/entity/Q138533712	wa-be	Belgian Walloon	wallon belge	belgisches Wallonisch	Belgisch-Waals		dialect of the Walloon language spoken in Belgium	dialecte de la langue wallonne parlé en Belgique	Dialekt der wallonischen Sprache, der in Belgien gesprochen wird	dialect van de Waalse taal dat in België wordt gesproken	
http://www.wikidata.org/entity/Q108055510	art-bel	Belter Creole		Belter Creole			constructed language created by Nick Farmer for The Expanse		konstruierte Sprache		
http://www.wikidata.org/entity/Q2669891	lmo-x-berg	Bergamasque	bergamasque	Provinz Bergamer Dialekt	Bergamasque		dialect of Eastern Lombard	dialecte de la région de Bergame parlé en Italie	indogermanische Sprache		
http://www.wikidata.org/entity/Q33268	bho	Bhojpuri	bhodjpouri	Bhojpuri	Bhojpuri	Idioma bopurí	Indo-Aryan language native to India and Nepal	langue indo-aryenne	im östlichen Nordindien gesprochene Sprache der indoarischen Sprachfamilie	taal	lengua biharí
http://www.wikidata.org/entity/Q33268	bh	Bhojpuri	bhodjpouri	Bhojpuri	Bhojpuri	Idioma bopurí	Indo-Aryan language native to India and Nepal	langue indo-aryenne	im östlichen Nordindien gesprochene Sprache der indoarischen Sprachfamilie	taal	lengua biharí
http://www.wikidata.org/entity/Q1982248	hbo	Biblical Hebrew	hébreu biblique	Bibelhebräisch	Hebreeuws	hebreo bíblico	archaic form of the Hebrew language	langue	Sprache	oude taal	lengua hablada durante la composición del Tanaj
http://www.wikidata.org/entity/Q37059	bpy	Bishnupriya Manipuri	manipourî de Bishnupriyay	Bishnupriya Manipuri	Bishnupriya Manipuri	Bishnupriya manipurí	Indo-Aryan language spoken in India and Bangladesh	langue indo-aryenne	Sprache	taal	idioma indo-ario
http://www.wikidata.org/entity/Q35452	bi	Bislama	bichelamar	Bislama	Bislama	Bislama	English-based creole language of Vanuatu	langue créole parlée au Vanuatu	Sprache	taal	lengua criolla melanesia hablado en Vanuatu
http://www.wikidata.org/entity/Q686210	art-bsp	Black Speech	noir parler	Schwarze Sprache	Zwarte Taal	lengua negra	fictional language in the fantasy works of J. R. R. Tolkien	langue du légendaire de Tolkien	Sprache in J. R. R. Tolkiens Universum	fictieve taal van J.R.R. Tolkien	lengua construida por J. R. R. Tolkien
http://www.wikidata.org/entity/Q33060	bla	Blackfoot	pied-noir	Blackfoot	Blackfoot	Idioma siksiká	indigenous language of the northwestern Great Plains of North America	langue algonquienne des Plaines, parlée en Amérique du Nord	Sprache	taal	lengua hablada en Estados Unidos
http://www.wikidata.org/entity/Q33223	brx	Bodo	bodo	Bodo	Boro	idioma bodo	Tibeto-Burman language of the Bodo people of north-eastern India and Nepal	langue tibéto-birmane	Sprache	taal	lengua tibetano-birmana hablada por el pueblo boro del noreste de la India
http://www.wikidata.org/entity/Q25167	nb	Bokmål	bokmål	Bokmål	Bokmål	bokmål	one of two official written standards for the Norwegian language	l'une des deux normes écrites officielles pour la langue norvégienne	norwegische Schriftsprache	taal	estándar más común del idioma noruego
http://www.wikidata.org/entity/Q2909283	art-blk	Bolak	bolak	Bolak			constructed language	langue construite			
http://www.wikidata.org/entity/Q9303	bs	Bosnian	bosnien	Bosnisch	Bosnisch	bosnio	South Slavic language; a standardized variety of the Serbo-Croatian pluricentric language	langue slave méridionale principalement parlée en Bosnie-Herzégovine, en Serbie et au Monténégro	südslawische Sprache	taal	lengua eslava
http://www.wikidata.org/entity/Q33202	brh	Brahui	brahoui	Brahui	Brahui	Idioma brahui	Dravidian language spoken in Pakistan and Afghanistan	langue dravidienne	Sprache	taal	lengua
http://www.wikidata.org/entity/Q750553	pt-br	Brazilian Portuguese	portugais brésilien	brasilianisches Portugiesisch	Braziliaans-Portugees	portugués brasileño	set of varieties of the Portuguese language spoken in Brazil	portugais parlé au Brésil	Reihe von Varianten der portugiesischen Sprache, die in Brasilien gesprochen werden	taal	conjunto de variedades de la lengua portuguesa habladas en Brasil
http://www.wikidata.org/entity/Q3436689	bzs	Brazilian Sign Language	langue des signes brésilienne	Brasilianische Gebärdensprache	Braziliaanse gebarentaal	lengua de señas brasileña	sign language of Brazil				
http://www.wikidata.org/entity/Q12107	br	Breton	breton	Bretonisch	Bretons	bretón	Celtic language spoken in France	langue celtique parlée en Bretagne	keltische Sprache	taal	idioma celta
http://www.wikidata.org/entity/Q7979	en-gb	British English	anglais britannique	britisches Englisch	Brits-Engels	inglés británico	forms of the English language used in Britain	variantes de la langue anglaise employées au Royaume-Uni	Bezeichnung für die Varietäten der englischen Sprache auf den britischen Inseln	taal	dialectos y acentos del idioma inglés que se hablan en Gran Bretaña
http://www.wikidata.org/entity/Q33000	bfi	British Sign Language	langue des signes britannique	Britische Gebärdensprache	Britse gebarentaal	lengua de señas británica	sign language used in the United Kingdom		Gebärdensprache der Hörgeschädigten in Großbritannien	Britse gebarentaal in Verenigde Koninkijk	
http://www.wikidata.org/entity/Q33190	bug	Bugis	bouguinais	Buginesisch	Boeginees	idioma buguinés	South Sulawesi language predominantly spoken by the Bugis ethnic group	langue austronésienne du groupe sulawesi méridional parlée en Indonésie	Sprache	taal	lengua del subgrupo sulawesi-polinesio
http://www.wikidata.org/entity/Q7918	bg	Bulgarian	bulgare	Bulgarisch	Bulgaars	búlgaro	South Slavic language	langue slave	südslawische Sprache	Zuid-Slavische taal	lengua eslava
http://www.wikidata.org/entity/Q56505	bnn	Bunun	bunun		Bunun	Idioma bunun	Formosan language spoken by the Bunun people of Taiwan	langue formosane	Sprache	taal	lengua
http://www.wikidata.org/entity/Q9228	my	Burmese	birman	Birmanisch	Birmaans	idioma birmano	Sino-Tibetan language of Myanmar	langue parlée en Birmanie	Amtssprache in Myanmar	taal	lengua sino-tibetana hablada en Myanmar
http://www.wikidata.org/entity/Q216286	bsk	Burushaski	bourouchaski	Burushaski	Burushaski	Idioma burushaski	isolate language spoken by Burushos in northern Pakistan and India	langue isolée parlée par les Bourouchos au nord du Pakistan et en Inde	Sprache im Karakorumgebirge im Norden Pakistans	taal	
http://www.wikidata.org/entity/Q33120	bxr	Buryat	bouriate	Burjatisch	Boerjatisch	buriato	variety of Mongolic spoken by the Buryats that is classified either as a language or as a major dialect group of Mongolian	langue mongole	mongolische Sprache	taal	lengua mongólica hablada por los buriatos, clasificada como idioma o grupo dialectal del mongol
http://www.wikidata.org/entity/Q16850160	awd-cab	Cabre	cabre			cabre	language	langue arawakienne	Sprache	taal	lengua arahuaca
http://www.wikidata.org/entity/Q880301	frc	Cajun French	français cadien	Cajun	Cajun-Frans	francés cajún	language	langue romane	indogermanische Sprache	taal	lengua
http://www.wikidata.org/entity/Q44676	en-ca	Canadian English	anglais canadien	kanadisches Englisch	Canadees-Engels	inglés canadiense	set of varieties of the English language native to Canada	langue	Sprache	taal	dialecto inglés hablado y escrito en Canadá
http://www.wikidata.org/entity/Q1450506	fr-ca	Canadian French	français canadien	Frankokanadisch	Canadees-Frans	francés canadiense	dialect of French mainly spoken in Canada	dialecte du français	romanische Sprache von Kanada	dialect	dialecto del francés hablado en Canadá
http://www.wikidata.org/entity/Q9186	zh-yue	Cantonese	dialecte cantonais	Kantonesisch	Kantonese dialecten	cantonés	variety of Yue Chinese spoken in Guangzhou, Hong Kong, and Macau	dialecte du langage Yue, en Chine, originaire de Canton au sud de la Chine	Standardvarietät des Yue-Chinesischen (Kantonesischen)	dialecten van het Kantonees	variante del chino yue
http://www.wikidata.org/entity/Q9186	yue	Cantonese	dialecte cantonais	Kantonesisch	Kantonese dialecten	cantonés	variety of Yue Chinese spoken in Guangzhou, Hong Kong, and Macau	dialecte du langage Yue, en Chine, originaire de Canton au sud de la Chine	Standardvarietät des Yue-Chinesischen (Kantonesischen)	dialecten van het Kantonees	variante del chino yue
http://www.wikidata.org/entity/Q35963	kea	Cape Verdean Creole	créole cap-verdien	Kapverdisches Kreol	Kaapverdisch-Creools	criollo caboverdiano	Portuguese-based creole language spoken in Cape Verde	créole à base lexicale portugaise	Kreolsprache auf portugiesischer Grundlage	Creoolse taal op Portugese basis, die op Kaapverdië gesproken wordt	lengua criolla de base portuguesa hablada en Cabo Verde
http://www.wikidata.org/entity/Q2937525	cps	Capisnon	capiznon		Capiznon	idioma capizano	Visayan language	langue	Sprache	taal	lengua bisaya o dialecto del hiligueino
http://www.wikidata.org/entity/Q28427	cal	Carolinian	carolinien	Karolinisch	Caroliniaans	carolinio	Austronesian language of the Northern Mariana Islands	langue micronésienne	mikronesische Sprache auf den nördlichen Marianen	taal	lengua malayo-polinesia
http://www.wikidata.org/entity/Q5045611	rmc	Carpathian Romani	romani central	Karpathen-Romani	Karpathisch-Romani		group of dialects of the Romani language	langue romani	Dialekt von Romani, der Sprache der Roma	taal	idioma
http://www.wikidata.org/entity/Q7026	ca	Catalan	catalan	Katalanisch	Catalaans	catalán	Western Romance language	langue romane	romanische Sprache, wird vor allem in Katalonien, Valencia und auf den Balearen gesprochen	Romaanse taal	lengua romance
http://www.wikidata.org/entity/Q33239	ceb	Cebuano	cébouano	Cebuano	Cebuano	cebuano	Austronesian language spoken in the Philippines by Cebuanos and other ethnic groups	langue austronésienne parlée aux Philippines	austronesische Sprache auf den Philippinen	taal	lengua perteneciente al filo bisayo hablada por los cebuanos y otras etnias en Filipinas
http://www.wikidata.org/entity/Q21117	esu	Central Alaskan Yup'ik	yupik de l'Alaska central	Yup'ik	Joepik	Yupik alaskeño central	language of the Yupik family, spoken in western and southwestern Alaska	langue eskimo-aléoute	zentralalaskische Sprache	taal	lenguaje de la familia Yupik
http://www.wikidata.org/entity/Q49741	tzm	Central Atlas Tamazight	tamazight du Maroc central	Zentralatlas-Tamazight	Centraal Atlas-Tamazight	Tamazight del Marruecos Central	Amazigh language of the Afro-Asiatic language family	langue berbère afro-asiatique	Berbersprache, die primär im Zentralatlas gesprochen wird	dialect	variante de lengua tamazight
http://www.wikidata.org/entity/Q33284	bcl	Central Bikol	bikol central	Zentral-Bikol	Centraal-Bikol	bicolano central	Austronesian language spoken in the Philippines	langue malayo-polynésienne	philippinische Sprache	taal	variedad estándar del bicolano
http://www.wikidata.org/entity/Q3217378	war	Central Visayan	langues bisayas centrales					famille de langues	Sprachfamilie		
http://www.wikidata.org/entity/Q5068066	sit-cha	Chairel	chairel			idioma chairel	language	langue sal	Sprache	taal	lengua tibeto-birmana extinta de la India
http://www.wikidata.org/entity/Q32952	ccp	Chakma	changma kodha	Chakma	Chakma		Indo-Aryan language spoken by the Chakma people	langue indo-européenne	indoarische Sprache, die vom Volk der Chakma in Bangladesch und Indien gesprochen wird	taal	lengua
http://www.wikidata.org/entity/Q107530840	ccp-beng	Chakma in Bengali script			Chakma in Bengaals schrift						
